grid_id,zone,zone_source,osm_industrial_share,coj_industrial_matches,coj_residential_matches,coj_evidence_n,coj_industrial_purity
JNB0343,residential,residential_fallback,0.0,0,106,106,0.0
JNB0344,residential,residential_fallback,0.0,0,3,3,0.0
JNB0345,residential,residential_fallback,0.0,0,0,0,0.0
JNB0346,residential,residential_fallback,0.0,0,0,0,0.0
JNB0347,residential,residential_fallback,0.0,0,0,0,0.0
JNB0348,residential,residential_fallback,0.0,0,0,0,0.0
JNB0349,residential,residential_fallback,0.0,0,0,0,0.0
JNB0350,residential,residential_fallback,0.0,0,0,0,0.0
JNB0351,residential,residential_fallback,0.0,0,0,0,0.0
JNB0352,residential,residential_fallback,0.0,0,0,0,0.0
JNB0353,residential,residential_fallback,0.0,0,0,0,0.0
JNB0354,residential,residential_fallback,0.0,0,0,0,0.0
JNB0355,residential,residential_fallback,0.0,0,0,0,0.0
JNB0356,residential,residential_fallback,0.0,0,0,0,0.0
JNB0357,residential,residential_fallback,0.0,0,0,0,0.0
JNB0358,residential,residential_fallback,0.0,0,0,0,0.0
JNB0359,residential,residential_fallback,0.0,0,0,0,0.0
JNB0360,residential,residential_fallback,0.0,0,0,0,0.0
JNB0361,residential,residential_fallback,0.0,0,0,0,0.0
JNB0362,residential,residential_fallback,0.0,0,0,0,0.0
JNB0363,residential,residential_fallback,0.0,0,0,0,0.0
JNB0364,residential,residential_fallback,0.0,0,0,0,0.0
JNB0365,residential,residential_fallback,0.0,0,0,0,0.0
JNB0366,residential,residential_fallback,0.0,0,0,0,0.0
JNB0367,residential,residential_fallback,0.0,0,0,0,0.0
JNB0368,residential,residential_fallback,0.0,0,0,0,0.0
JNB0369,residential,residential_fallback,0.0,0,0,0,0.0
JNB0370,residential,residential_fallback,0.0,0,0,0,0.0
JNB0371,residential,residential_fallback,0.0,0,0,0,0.0
JNB0372,residential,residential_fallback,0.0,0,0,0,0.0
JNB0373,residential,residential_fallback,0.0,0,0,0,0.0
JNB0374,residential,residential_fallback,0.0,0,0,0,0.0
JNB0375,residential,residential_fallback,0.0,0,0,0,0.0
JNB0376,residential,residential_fallback,0.0,0,0,0,0.0
JNB0377,residential,residential_fallback,0.0,0,0,0,0.0
JNB0378,residential,residential_fallback,0.0,0,0,0,0.0
JNB0379,residential,residential_fallback,0.0,0,0,0,0.0
JNB0380,residential,residential_fallback,0.0,0,0,0,0.0
JNB0381,residential,residential_fallback,0.0,0,0,0,0.0
JNB0382,residential,residential_fallback,0.0,0,0,0,0.0
